HOUR,PRICE
1644,463.77
1645,466.09
1646,445.18
1647,451.66
1648,454.0
1649,452.83
1650,455.38
1651,457.0
1652,463.93
1653,459.51
1654,461.46
1655,460.76
1656,455.14
1657,455.23
1658,457.48
1659,457.27
1660,454.46
1661,455.99
1662,455.78
1663,457.79
1664,459.5
1665,455.0
1666,456.0
1667,457.86
1668,450.25
1669,452.4
1670,451.2
1671,452.32
1672,458.13
1673,456.07
1674,457.36
1675,457.36
1676,457.36
1677,457.36
1678,457.36
1679,457.94
1680,458.0
1681,458.0
1682,459.04
1683,456.88
1684,455.6
1685,455.11
1686,455.0
1687,455.0
1688,455.0
1689,458.0
1690,457.15
1691,457.0
1692,457.0
1693,457.0
1694,458.75
1695,458.75
1696,463.35
1697,465.3
1698,465.21
1699,463.72
1700,463.72
1701,460.16
1702,460.81
1703,460.81
1704,462.95
1705,461.51
1706,461.0
1707,461.0
1708,460.01
1709,460.75
1710,460.02
1711,464.26
1712,464.0
1713,463.02
1714,464.0
1715,464.5
1716,464.5
1717,464.5
1718,464.5
1719,464.5
1720,464.03
1721,464.03
1722,461.5
1723,463.5
1724,464.0
1725,464.0
1726,464.0
1727,464.0
1728,463.5
1729,463.5
1730,463.5
1731,455.0
1732,461.53
1733,462.81
1734,460.41
1735,460.4
1736,460.35
1737,461.8
1738,461.8
1739,462.01
1740,462.0
1741,460.5
1742,458.83
1743,460.1
1744,461.66
1745,461.66
1746,461.66
1747,461.66
1748,461.66
1749,461.66
1750,460.1
1751,460.1
1752,460.1
1753,456.67
1754,455.74
1755,450.92
1756,435.5
1757,441.87
1758,446.18
1759,444.79
1760,441.1
1761,441.74
1762,443.6
1763,428.95
1764,429.01
1765,433.0
1766,436.0
1767,449.99
1768,438.35
1769,437.78
1770,437.0
1771,439.0
1772,435.86
1773,439.0
1774,447.79
1775,439.71
1776,443.71
1777,441.46
1778,436.97
1779,439.0
1780,439.73
1781,436.87
1782,438.61
1783,438.95
1784,437.04
1785,436.63
1786,438.87
1787,438.99
1788,439.99
1789,438.63
1790,438.63
1791,438.63
1792,438.62
1793,438.62
1794,440.96
1795,440.99
1796,441.73
1797,440.65
1798,439.8
1799,439.8
1800,437.02
1801,436.79
1802,435.6
1803,438.22
1804,436.6
1805,436.09
1806,436.09
1807,436.29
1808,437.99
1809,434.79
1810,437.35
1811,437.0
1812,435.75
1813,435.98
1814,435.98
1815,437.06
1816,437.38
1817,437.39
1818,437.68
1819,437.68
1820,437.68
1821,439.98
1822,439.99
1823,439.45
1824,439.99
1825,439.8
1826,439.26
1827,439.72
1828,441.92
1829,443.78
1830,443.15
1831,443.99
1832,444.18
1833,443.0
1834,444.54
1835,444.54
1836,444.99
1837,450.27
1838,454.75
1839,448.24
1840,454.26
1841,455.0
1842,455.0
1843,455.0
1844,455.0
1845,455.0
1846,457.22
1847,453.41
1848,451.49
1849,454.56
1850,454.99
1851,455.0
1852,456.28
1853,455.38
1854,456.61
1855,455.78
1856,455.83
1857,455.38
1858,455.46
1859,459.0
1860,461.86
1861,457.36
1862,457.75
1863,457.75
1864,460.91
1865,458.3
1866,458.3
1867,454.13
1868,454.13
1869,454.95
1870,454.95
1871,454.02
1872,453.99
1873,454.0
1874,454.0
1875,454.0
1876,454.93
1877,457.71
1878,457.71
1879,457.7
1880,457.7
1881,458.59
1882,458.59
1883,458.59
1884,457.55
1885,451.39
1886,445.1
1887,442.09
1888,437.93
1889,439.65
1890,439.65
1891,435.0
1892,434.0
1893,418.0
1894,425.27
1895,428.0
1896,421.97
1897,425.1
1898,431.5
1899,412.55
1900,422.81
1901,420.49
1902,428.78
1903,428.78
1904,416.96
1905,417.0
1906,418.3
1907,407.77
1908,412.25
1909,412.25
1910,412.25
1911,416.26
1912,414.3
1913,411.62
1914,418.83
1915,417.58
1916,417.58
1917,421.5
1918,421.33
1919,421.11
1920,416.38
1921,415.08
1922,420.0
1923,416.63
1924,416.63
1925,419.22
1926,419.22
1927,420.88
1928,422.06
1929,422.06
1930,421.51
1931,426.0
1932,425.78
1933,429.31
1934,428.69
1935,425.01
1936,425.01
1937,427.83
1938,427.83
1939,426.51
1940,425.0
1941,422.94
1942,422.94
1943,424.91
1944,424.2
1945,423.35
1946,423.41
1947,423.16
1948,422.43
1949,422.43
1950,421.07
1951,418.79
1952,421.47
1953,420.8
1954,421.79
1955,421.79
1956,424.87
1957,424.14
1958,421.86
1959,421.86
1960,421.86
1961,421.79
1962,421.89
1963,421.79
1964,421.79
1965,421.79
1966,421.79
1967,421.79
1968,422.98
1969,422.98
1970,429.46
1971,430.61
1972,433.37
1973,432.75
1974,431.0
1975,429.05
1976,431.0
1977,431.0
1978,432.9
1979,434.21
1980,433.01
1981,431.6
1982,431.6
1983,431.64
1984,431.64
1985,430.84
1986,431.59
1987,431.56
1988,432.31
1989,432.31
1990,432.31
1991,430.85
1992,422.1
1993,422.1
1994,425.82
1995,427.0
1996,428.76
1997,429.99
1998,428.4
1999,428.4
2000,428.4
2001,428.24
2002,429.98
2003,427.57
2004,429.99
2005,429.06
2006,429.06
2007,429.06
2008,422.01
2009,422.01
2010,422.01
2011,422.01
2012,422.01
2013,422.01
2014,422.01
2015,422.01
2016,422.01
2017,429.94
2018,426.5
2019,431.99
2020,432.21
2021,432.21
2022,432.21
2023,434.09
2024,433.79
2025,432.5
2026,429.95
2027,429.95
2028,432.68
2029,432.68
2030,432.68
2031,436.53
2032,436.53
2033,434.98
2034,436.23
2035,436.59
2036,436.59
2037,433.26
2038,433.26
2039,433.26
2040,430.51
2041,434.28
2042,434.28
2043,433.66
2044,433.25
2045,435.73
2046,435.55
2047,435.55
2048,436.61
2049,434.55
2050,434.55
2051,434.55
2052,433.94
2053,434.94
2054,432.7
2055,434.48
2056,434.48
2057,433.93
2058,433.93
2059,433.19
2060,437.0
2061,436.72
2062,436.72
2063,436.72
2064,436.72
2065,436.72
2066,436.72
2067,436.5
2068,439.53
2069,439.53
2070,437.4
2071,437.4
2072,437.4
2073,435.75
2074,435.75
2075,437.99
2076,437.99
2077,431.08
2078,427.33
2079,427.63
2080,427.63
2081,428.54
2082,428.69
2083,429.42
2084,429.23
2085,429.23
2086,429.23
2087,429.23
2088,425.85
2089,425.85
2090,425.85
2091,409.12
2092,422.0
2093,423.0
2094,409.11
2095,409.11
2096,424.26
2097,424.26
2098,424.26
2099,424.26
2100,426.0
2101,426.0
2102,426.0
2103,426.0
2104,426.0
2105,428.89
2106,428.85
2107,429.98
2108,429.98
2109,429.98
2110,429.98
2111,429.98
2112,427.76
2113,430.9
2114,432.92
2115,432.69
2116,432.67
2117,432.55
2118,433.8
2119,436.01
2120,436.19
2121,435.01
2122,434.37
2123,435.63
2124,435.63
2125,434.28
2126,432.57
2127,432.57
2128,433.75
2129,433.75
2130,433.75
2131,433.32
2132,432.75
2133,432.48
2134,432.48
